NAME,MASS,BINDING ENERGY,SOLID FRACTION,MONO FRACTION,VOLCANO FRACTION,ENTHALPY
H,1,0,0,0,0,0
H+,1,0,0,0,0,0
H2,2,440,0,0,0,0
H2+,2,0,0,0,0,0
H3+,3,0,0,0,0,0
HE,4,0,0,0,0,0
HE+,4,0,0,0,0,0
MG,24,0,0,0,0,0
CH5+,17,0,0,0,0,0
O2,32,0,0,0,0,0
CH4+,16,0,0,0,0,0
O+,16,0,0,0,0,0
OH+,17,0,0,0,0,0
MG+,24,0,0,0,0,0
C+,12,0,0,0,0,0
CH4,16,0,0,0,0,0
H2O+,18,0,0,0,0,0
H3O+,19,0,0,0,0,0
CO+,28,0,0,0,0,0
H2O,18,0,0,0,0,0
CH2,14,0,0,0,0,0
CH3+,15,0,0,0,0,0
CH,13,0,0,0,0,0
CH3,15,0,0,0,0,0
O2+,32,0,0,0,0,0
CH2+,14,0,0,0,0,0
C,12,0,0,0,0,0
CH+,13,0,0,0,0,0
O,16,0,0,0,0,0
OH,17,0,0,0,0,0
CO,28,0,0,0,0,0
HCO+,29,0,0,0,0,0
#CH4,16,960,0,0.7,0.667,-15.9
