model,cloud_size,av,h2col,coldens
0,5.184705119896306e-08,2.56e-07,110031200000.0,160000000000000.0
1,2.0738820479585223e-07,1.024e-06,440406409999.8557,640000000000000.0
2,3.629293583927414e-07,1.7920000000000002e-06,771326270000.3901,1120000000000000.0
3,5.152300716215165e-07,2.5440000016384003e-06,1095881300708.5404,1590000001024000.0
4,2.0609202851587817e-06,1.0176e-05,4420622300009.218,6360000000000000.0
5,3.606610498696047e-06,1.78079999983616e-05,7801359289265.213,1.1129999998976e+16
6,5.152300712233312e-06,2.5439999996723203e-05,11240006208508.146,1.5899999997952e+16
7,2.061244329195593e-05,0.0001017759999983616,49432047109089.31,6.3609999998976e+16
8,3.606934543131044e-05,0.0001780960000016384,96616742421150.02,1.11310000001024e+17
9,5.152624756933765e-05,0.0002544159999983616,158371944918466.22,1.59009999998976e+17
10,0.00020610174983830978,0.0010176480000016383,2.7113239199189468e+16,6.36030000001024e+17
11,0.00036068049254765,0.0017808960000032768,1.231693910994797e+17,1.113060000002048e+18
12,0.0005152559948152949,0.002544128,2.387113514890148e+17,1.59008e+18
13,0.0020610239792611795,0.010176512,1.763247053199034e+18,6.36032e+18
14,0.003606788723266696,0.01780888000000164,3.553693199499437e+18,1.1130550000001024e+19
15,0.005152553467270885,0.025441247999996724,5.462393396678197e+18,1.5900779999997952e+19
16,0.020610213869086194,0.101764992,2.665839541082907e+19,6.360312e+19
17,0.03606787427090151,0.17808873600000327,4.910322729490004e+19,1.1130546000000205e+20
18,0.05152553467271549,0.25441248,7.203657567520906e+19,1.590078e+20
19,0.20610212896953953,1.0176498719999987,3.0796594242343856e+20,6.360311699999992e+20
20,0.3606787232663636,1.7808872639999975,5.4500397503015807e+20,1.1130545399999984e+21
21,0.5152553208036293,2.5441246720000015,7.815290852632094e+20,1.590077920000001e+21
22,2.0610212767336353,10.176498656000005,3.1471713170117294e+21,6.360311660000003e+21
23,3.6067872326636423,17.808872640000025,5.513497918294364e+21,1.1130545400000016e+22
24,5.152553188593648,25.44124662400005,7.88127308055655e+21,1.5900779140000032e+22
25,15.972914883344128,78.86786452800007,2.4480685864694334e+22,4.929241533000004e+22
26,17.518680839274115,86.50023851200007,2.6854301701147342e+22,5.406264907000004e+22
27,19.0644467952041,94.13261249600004,2.9228383589435823e+22,5.883288281000002e+22
28,20.146482965003187,99.47527428800007,3.0890476609482963e+22,6.217204643000004e+22
29,20.301059562540463,100.23851169600013,3.112791881306502e+22,6.2649069810000075e+22
30,20.4556361568373,101.00174908800021,3.1365375815294646e+22,6.312609318000013e+22
31,20.563839773169132,101.53601526400027,3.153160839504435e+22,6.346000954000016e+22
32,20.579297433570943,101.6123390080003,3.1555355907859518e+22,6.350771188000019e+22
33,20.594755093972754,101.68866275200033,3.1579103420674684e+22,6.35554142200002e+22
34,20.605575456902113,101.74208937600034,3.1595726680640966e+22,6.3588805860000205e+22
35,20.607121221646107,101.74972174400031,3.1598101429931217e+22,6.359357609000019e+22
36,20.608666986390105,101.75735411200027,3.160047617922148e+22,6.359834632000017e+22
37,20.6097490246273,101.76269678400025,3.1602138508205088e+22,6.3601685490000156e+22
38,20.609903600129567,101.76346001600028,3.1602375981640624e+22,6.360216251000018e+22
39,20.610058175631835,101.76422324800033,3.1602613455076152e+22,6.3602639530000206e+22
40,20.610166380427682,101.76475752000044,3.1602779689467995e+22,6.3602973450000275e+22
41,20.61018183732981,101.76483384000059,3.1602803435815924e+22,6.360302115000036e+22
42,20.61019729423194,101.76491016000072,3.1602827182163857e+22,6.360306885000045e+22
43,20.610208117303873,101.76496360000077,3.1602843809585683e+22,6.3603102250000475e+22
44,20.610209662994084,101.76497123200068,3.160284618422048e+22,6.360310702000042e+22
45,20.610211208684298,101.76497886400058,3.160284855885528e+22,6.360311179000036e+22
46,20.610212290991495,101.76498420800051,3.1602850221597456e+22,6.360311513000032e+22
47,20.610212443292223,101.76498496000059,3.160285045557613e+22,6.360311560000036e+22
